cgpa,backlogs,internships,projects,certifications,aptitude_score,communication_score,coding_skill,placed,salary_lpa
6.9,0,2,7,1,68,40,60,1,11.03
7.83,2,0,2,0,42,50,56,0,0.0
6.41,2,3,7,2,42,100,57,1,11.56
7.03,0,2,1,3,56,65,84,1,11.37
6.39,4,3,2,2,46,84,46,0,0.0
6.91,0,0,3,2,45,69,58,1,10.37
7.91,3,1,1,3,49,45,68,0,0.0
5.73,0,2,6,3,51,51,72,1,10.84
7.57,0,0,6,2,91,86,93,1,13.95
7.4,2,0,3,1,78,45,96,1,12.06
6.69,0,0,6,2,41,76,58,0,0.0
5.97,0,4,6,0,78,61,72,1,13.3
7.26,0,2,6,3,48,62,41,1,9.8
6.75,0,1,6,6,65,98,77,1,13.44
7.4,2,2,5,2,42,76,49,0,0.0
7.22,3,1,1,0,45,77,44,0,0.0
8.56,3,1,7,4,48,61,80,1,12.6
7.0,0,1,5,0,66,63,50,1,10.77
6.33,1,2,7,1,68,81,69,1,11.42
7.35,0,0,7,1,61,42,46,0,0.0
7.39,0,3,2,6,77,54,85,1,13.2
8.36,0,2,3,6,83,76,86,1,14.61
7.91,4,1,2,3,84,78,75,1,9.7
7.5,3,1,1,4,75,45,90,1,10.85
8.44,2,0,7,4,73,88,66,1,13.62
6.19,1,4,7,4,69,73,51,1,11.71
6.66,1,3,7,3,54,54,49,1,11.4
6.41,1,3,7,6,69,85,53,1,11.52
6.87,1,0,5,5,40,100,52,0,0.0
6.03,0,0,4,0,98,65,59,0,0.0
7.74,0,0,7,2,62,57,53,1,11.3
7.01,0,0,4,6,86,58,76,0,0.0
5.95,4,0,5,2,98,76,49,0,0.0
6.34,1,0,2,1,70,42,77,0,0.0
7.47,4,4,6,6,92,69,60,1,13.35
7.91,0,0,6,4,69,41,81,1,13.49
8.9,1,0,5,3,48,42,71,1,12.05
9.68,0,2,4,2,41,66,95,1,16.53
7.55,0,1,2,0,48,85,66,1,11.52
6.36,0,2,1,2,97,93,57,0,0.0
5.39,0,1,5,3,68,45,75,0,0.0
7.43,3,3,5,6,59,54,80,1,12.44
6.51,0,1,6,2,67,65,66,0,0.0
6.85,1,1,7,1,55,75,74,1,12.73
6.68,1,2,4,2,93,100,68,1,12.89
7.08,0,1,6,6,100,81,58,1,13.19
8.11,1,1,6,3,45,72,59,1,10.66
7.33,0,1,2,2,83,43,95,1,12.84
7.07,5,0,6,4,60,44,81,0,0.0
6.32,2,2,1,4,42,49,45,0,0.0
5.78,2,0,5,2,96,80,98,0,0.0
6.79,1,0,7,6,43,60,83,0,0.0
7.15,0,0,5,4,52,54,43,0,0.0
8.7,3,3,7,0,41,80,84,1,13.21
7.31,0,0,1,2,68,89,75,1,11.24
8.04,0,2,4,6,76,66,95,1,13.4
6.78,0,3,6,2,59,93,69,1,12.4
6.19,2,0,5,3,44,84,71,1,8.63
6.38,1,2,7,4,47,83,59,1,9.79
6.58,2,0,4,4,96,92,59,0,0.0
9.01,2,0,5,6,89,51,77,1,12.41
6.5,0,2,3,1,97,86,90,1,13.2
7.91,3,3,7,3,72,98,94,1,14.42
6.43,0,0,1,3,73,100,87,0,0.0
7.99,1,1,2,1,87,75,77,1,12.32
7.53,0,0,1,4,77,86,70,1,10.71
7.07,5,1,5,0,66,94,60,0,0.0
7.17,0,1,2,3,57,91,86,1,11.8
6.64,0,1,3,2,69,94,59,1,10.36
7.58,0,1,6,1,43,90,56,0,0.0
6.81,0,0,3,5,51,63,92,0,0.0
6.16,0,2,2,1,84,84,75,1,10.22
6.11,1,2,1,1,92,65,61,1,10.72
7.35,0,2,2,5,46,88,92,1,11.78
8.54,3,0,7,6,45,89,98,1,13.34
7.34,0,1,4,0,45,97,59,1,10.92
7.1,2,1,7,1,88,75,71,1,12.04
7.44,1,0,2,4,58,68,69,0,0.0
8.31,1,0,3,5,59,50,82,0,0.0
7.39,1,1,2,6,40,78,98,1,12.67
6.85,1,2,3,3,99,74,73,1,13.43
8.14,4,0,4,0,66,71,88,0,0.0
7.56,0,2,6,6,88,81,76,1,13.1
8.51,0,1,3,1,83,91,94,1,13.54
7.36,1,2,6,0,48,49,64,1,13.26
6.16,2,1,5,4,88,66,63,1,10.9
6.04,0,1,3,4,73,84,65,1,11.94
8.6,0,1,7,0,76,90,100,1,13.55
8.67,3,3,4,1,52,87,77,1,12.25
7.05,2,1,2,4,91,88,49,0,0.0
6.87,5,1,7,1,96,92,42,0,0.0
8.44,1,1,7,4,64,98,71,1,12.33
6.26,1,2,1,2,45,77,89,1,10.18
6.44,0,0,7,4,91,55,69,1,12.66
7.75,4,1,7,3,94,74,74,0,0.0
6.86,0,1,6,2,70,83,88,1,13.62
7.2,2,3,2,2,75,46,71,1,12.96
7.06,0,1,5,4,53,86,95,1,12.7
7.49,1,1,4,3,44,73,78,1,11.22
8.4,2,4,5,4,97,97,84,1,15.54
7.28,1,1,5,4,69,52,87,1,12.93
7.75,3,0,5,1,56,95,78,1,9.91
5.46,0,0,4,6,82,67,43,0,0.0
7.16,1,0,5,3,41,74,66,1,10.88
6.48,0,0,4,5,44,80,48,0,0.0
6.16,0,1,1,6,54,75,71,0,0.0
6.45,0,2,1,6,67,95,48,1,11.5
6.92,0,2,7,4,62,50,71,1,13.25
7.98,0,0,7,5,51,84,60,1,13.0
6.07,1,1,5,3,61,99,41,0,0.0
7.23,1,0,2,5,60,53,47,0,0.0
6.79,1,3,6,2,72,55,70,1,12.92
6.92,0,0,2,4,74,68,44,0,0.0
8.05,0,1,3,0,93,84,92,0,0.0
7.66,0,0,3,6,89,98,86,1,12.08
8.34,2,2,1,1,57,88,83,1,11.69
7.07,3,1,6,4,95,88,50,1,12.16
6.61,0,2,4,0,71,66,88,1,13.67
7.01,1,0,3,1,51,79,78,0,0.0
7.41,0,3,4,6,60,52,63,1,13.17
7.35,0,1,1,5,85,68,40,1,11.18
6.28,0,2,4,1,90,51,72,1,12.13
7.28,0,3,4,0,62,41,88,1,13.18
7.39,1,4,3,5,49,92,42,1,11.83
9.34,3,0,6,6,51,89,43,0,0.0
8.8,0,0,2,1,46,71,63,1,11.9
6.47,1,0,1,4,82,40,71,0,0.0
6.96,2,0,4,1,70,45,68,0,0.0
5.96,4,1,7,5,67,46,65,0,0.0
6.7,1,4,3,2,80,83,55,0,0.0
7.47,0,4,1,0,90,52,43,1,12.63
8.22,1,1,7,2,88,55,41,1,12.04
6.58,0,1,4,3,48,92,46,1,10.31
6.64,4,3,2,5,75,93,82,1,11.38
5.37,0,3,5,0,93,86,87,1,10.85
7.06,1,0,3,6,87,58,66,1,11.17
6.3,0,1,7,4,60,75,44,0,0.0
6.75,0,2,3,6,63,52,65,1,10.93
6.45,3,0,4,6,94,92,100,1,12.73
7.12,1,1,4,1,42,45,55,0,0.0
5.71,0,4,2,0,72,85,69,1,11.4
5.95,4,4,4,5,47,71,72,0,0.0
9.01,3,3,1,1,94,86,60,1,12.29
6.11,0,2,5,1,42,67,66,1,11.6
6.27,1,0,6,3,41,49,68,0,0.0
8.76,1,0,7,6,60,85,68,1,12.72
9.67,1,1,3,5,52,78,83,1,13.88
6.2,0,1,2,3,70,68,75,0,0.0
6.89,0,1,4,1,58,62,43,0,0.0
7.49,3,1,5,2,61,60,40,0,0.0
8.67,3,1,7,4,74,69,65,1,12.22
6.36,2,2,1,1,74,55,95,1,10.73
6.99,4,0,2,3,97,57,42,1,9.02
7.86,2,0,2,0,69,56,44,0,0.0
7.57,2,0,2,2,74,40,81,0,0.0
6.88,2,0,4,1,81,96,67,1,10.51
7.09,1,3,7,4,50,54,54,1,13.57
6.03,0,1,1,6,80,50,52,1,9.94
7.0,0,0,6,1,92,49,80,1,13.49
6.97,1,2,5,5,59,100,71,1,12.03
7.4,0,1,5,4,50,69,78,1,13.51
6.73,0,0,5,6,61,59,57,0,0.0
7.6,1,0,1,6,56,64,72,1,11.07
8.06,0,0,6,0,75,45,92,1,12.76
7.33,0,2,2,5,92,59,59,1,11.72
7.5,2,0,4,4,76,55,64,0,0.0
7.25,3,0,5,0,47,88,49,0,0.0
7.2,0,0,5,1,59,43,78,0,0.0
6.59,0,1,3,6,82,65,41,0,0.0
7.47,0,0,3,3,60,88,55,1,10.43
7.12,2,3,4,2,75,90,83,1,13.12
8.98,2,0,1,2,82,71,41,1,11.21
8.54,0,1,6,5,60,53,100,1,13.68
7.53,2,1,1,1,79,60,64,0,0.0
6.55,0,1,4,1,64,53,64,1,11.1
6.25,0,0,5,4,48,80,72,1,11.87
8.21,5,2,1,6,62,57,78,0,0.0
7.42,0,3,7,1,66,78,68,1,12.12
7.61,0,0,3,1,40,79,93,0,0.0
5.72,0,0,1,3,94,97,98,1,10.5
7.99,1,3,5,1,72,62,52,1,12.03
7.59,4,1,4,4,42,98,83,0,0.0
6.26,5,0,5,1,92,64,58,0,0.0
6.8,0,0,6,0,92,81,100,1,11.36
7.42,0,2,4,1,40,80,55,1,10.47
7.24,2,2,6,6,49,89,57,1,11.72
6.95,0,1,3,6,62,68,83,1,12.57
7.11,3,4,4,3,70,88,88,1,13.0
6.99,1,1,2,2,84,61,47,0,0.0
7.33,0,0,5,5,65,69,73,1,10.57
8.45,2,1,2,1,77,70,61,1,11.97
5.02,0,1,5,4,40,82,77,1,10.17
7.0,0,0,6,4,80,77,73,1,12.57
7.35,1,0,7,4,95,44,100,1,12.32
7.45,1,1,7,1,72,89,96,1,12.92
6.88,1,2,1,5,67,86,79,1,11.77
5.71,1,0,1,4,58,46,81,0,0.0
7.48,5,1,7,6,98,98,94,1,11.35
8.67,5,2,3,1,42,80,51,0,0.0
5.9,1,1,1,4,57,45,84,1,9.57
7.93,0,2,3,5,48,69,87,1,13.34
6.92,2,2,6,1,92,91,47,1,11.7
7.15,4,2,3,5,69,57,93,0,0.0
6.31,0,0,1,0,96,96,82,0,0.0
6.92,1,1,6,5,80,65,61,1,12.47
8.31,0,1,2,4,73,53,69,1,13.28
7.7,0,0,3,1,71,61,69,1,9.99
8.67,1,0,1,0,52,72,96,1,12.04
8.2,0,0,5,5,74,81,99,1,14.25
7.57,2,1,4,1,81,96,89,1,11.77
8.68,2,1,7,3,98,51,79,1,12.57
7.57,2,0,3,0,73,98,46,0,0.0
7.9,0,2,2,6,97,72,95,1,13.13
6.95,0,3,2,3,97,47,48,1,11.72
7.26,2,0,2,6,71,96,50,0,0.0
6.61,2,3,4,1,66,61,44,0,0.0
8.04,1,0,1,1,48,77,97,0,0.0
6.2,3,3,3,4,56,82,70,1,10.15
7.86,0,4,6,4,93,40,54,1,14.03
7.04,3,0,6,5,48,53,44,0,0.0
8.2,0,2,5,6,64,81,65,1,14.89
7.84,0,4,7,5,82,59,84,1,13.98
8.75,1,3,6,0,54,40,100,1,14.4
7.82,0,4,5,2,99,41,73,1,13.45
5.86,0,1,7,6,79,90,77,1,13.06
7.14,0,0,1,3,41,49,90,1,10.19
6.2,0,3,6,6,55,46,95,1,12.91
6.76,2,1,3,3,85,74,57,1,9.99
8.48,0,1,6,0,92,47,100,1,14.06
7.74,1,1,7,3,96,79,71,1,13.15
6.61,2,1,4,5,91,73,96,0,0.0
6.34,0,0,1,4,44,79,47,0,0.0
7.23,0,2,3,0,84,69,45,1,10.09
6.17,3,0,3,1,46,87,93,0,0.0
6.63,2,2,7,5,44,79,81,1,11.9
7.47,1,3,7,6,82,65,50,1,13.87
8.18,2,1,4,5,69,40,94,1,12.27
7.72,0,1,7,0,79,56,46,1,10.5
5.25,0,0,4,4,91,48,81,1,10.94
7.46,2,4,3,5,44,40,52,1,12.53
7.26,0,2,6,4,72,56,44,1,12.06
7.55,2,1,5,4,90,52,89,1,12.52
8.57,1,0,4,3,66,44,91,1,11.9
5.45,2,0,4,1,71,59,46,0,0.0
6.7,1,1,5,1,70,70,45,1,9.44
7.7,0,3,6,5,95,50,77,1,13.82
5.86,0,2,4,0,43,56,41,0,0.0
8.45,0,0,1,0,93,41,85,1,10.75
7.51,2,3,1,2,89,43,95,1,13.65
7.92,0,1,2,5,89,49,85,0,0.0
6.71,0,3,4,4,65,67,54,0,0.0
7.89,0,0,5,4,71,80,51,1,11.89
8.11,0,1,6,3,62,88,81,0,0.0
7.4,2,3,2,0,55,78,43,0,0.0
7.4,0,0,6,2,93,77,72,1,12.14
7.43,5,2,5,0,70,97,67,1,9.65
6.47,0,4,1,5,84,55,85,1,13.46
7.07,1,0,3,5,46,88,52,1,10.5
7.07,0,0,3,1,88,97,86,1,12.82
7.53,0,2,7,2,80,74,82,1,13.82
8.05,3,0,7,2,100,91,54,1,12.01
6.3,4,0,6,6,48,48,61,1,9.19
7.09,3,1,4,3,72,93,44,0,0.0
8.46,0,2,4,5,71,74,67,1,13.58
6.57,0,0,3,3,72,53,55,0,0.0
6.5,1,0,6,4,43,43,46,0,0.0
7.37,0,3,1,3,68,83,74,1,11.52
7.92,2,1,2,1,58,66,74,0,0.0
7.21,1,3,1,6,77,58,45,1,11.84
8.33,1,1,4,4,54,63,51,1,12.02
7.93,2,4,3,5,66,100,45,1,11.28
7.92,2,2,2,6,77,66,81,1,12.99
7.67,0,0,3,1,43,44,60,1,9.98
9.18,0,3,7,0,87,57,44,1,13.64
7.03,1,1,4,4,83,48,51,1,12.09
5.5,1,0,6,2,43,81,99,1,11.31
8.56,0,0,7,3,43,88,55,1,12.42
6.81,0,2,7,1,91,91,81,1,14.55
7.29,2,0,3,2,57,78,68,0,0.0
8.31,2,0,7,2,92,86,51,1,10.84
5.84,1,0,7,2,70,65,58,0,0.0
6.14,0,1,7,5,60,78,40,0,0.0
5.84,0,1,3,4,56,46,85,0,0.0
6.52,1,1,2,3,80,72,60,0,0.0
7.57,0,0,5,0,46,74,70,1,10.59
7.65,1,0,7,3,64,41,49,1,11.64
7.43,1,1,7,1,61,73,90,1,12.76
6.0,0,1,4,2,49,84,53,0,0.0
5.24,0,2,2,2,61,62,74,1,10.88
7.25,0,0,3,0,72,73,93,1,12.21
6.8,3,0,5,2,81,57,83,1,10.2
7.59,1,0,4,1,45,56,76,0,0.0
7.8,0,1,3,5,93,47,94,1,11.81
7.32,3,1,3,6,93,59,50,0,0.0
7.85,1,2,1,0,82,88,98,1,12.0
7.39,1,1,3,4,96,97,73,1,12.12
7.65,4,1,5,4,66,78,65,0,0.0
6.6,0,1,2,2,90,78,55,0,0.0
7.05,0,0,7,3,84,77,85,1,11.71
7.37,1,1,1,5,74,69,99,1,12.42
7.9,0,1,5,2,50,65,82,1,12.71
6.87,1,1,4,0,74,77,41,1,10.23
7.64,0,0,6,2,94,87,68,1,12.29
6.97,0,2,7,1,100,65,84,1,12.33
7.1,0,3,4,2,67,74,64,1,11.79
7.91,0,0,5,1,55,68,87,1,11.79
5.51,0,1,5,1,85,57,83,1,11.08
6.1,0,2,4,6,44,57,44,1,10.57
5.94,3,0,2,0,49,44,74,0,0.0
5.22,0,2,4,4,74,66,50,1,11.06
6.62,0,1,2,5,100,83,69,1,11.03
7.84,0,3,4,4,60,81,63,1,13.32
6.96,0,4,5,6,67,100,89,1,14.65
7.37,0,0,2,0,59,42,92,1,10.67
8.13,1,1,2,2,66,86,68,1,12.03
8.33,0,1,6,1,40,88,72,1,12.1
7.14,3,0,3,4,76,66,78,0,0.0
8.35,3,0,2,4,76,57,79,0,0.0
7.28,0,4,5,6,59,61,78,1,14.01
6.49,0,0,6,2,56,81,87,1,11.34
6.69,0,1,6,1,86,92,99,1,12.9
5.94,1,3,6,6,51,79,90,1,12.11
6.45,0,0,7,4,42,71,48,1,10.77
6.9,3,1,5,5,42,79,69,1,10.42
7.88,2,4,3,3,93,44,68,1,13.16
8.66,2,1,7,3,62,77,71,1,12.81
6.03,1,0,2,2,46,42,72,0,0.0
7.53,5,0,3,5,93,98,83,0,0.0
6.32,0,3,6,1,49,94,65,1,10.08
7.6,0,0,7,6,60,71,56,0,0.0
7.09,0,1,3,1,41,62,67,1,9.75
5.64,4,0,6,3,81,84,92,1,10.4
7.99,1,1,7,2,82,78,58,1,12.52
6.69,2,3,6,4,86,83,41,1,11.91
6.75,0,1,1,4,56,71,99,1,10.89
6.29,4,4,5,6,60,54,51,0,0.0
6.64,1,0,2,5,97,44,76,0,0.0
7.56,1,1,6,1,90,57,88,1,14.12
7.04,4,3,1,1,42,72,56,0,0.0
7.48,0,1,7,6,82,65,60,1,13.06
7.51,0,0,2,3,89,70,57,0,0.0
8.32,1,3,3,0,74,56,49,1,12.39
6.91,0,1,2,5,79,97,49,1,10.76
5.94,0,1,6,4,40,62,51,1,10.72
8.11,0,4,3,0,41,91,67,1,12.08
6.92,0,0,6,5,42,63,72,1,11.24
8.15,3,0,1,4,49,67,40,0,0.0
7.53,1,0,4,4,100,76,91,1,12.79
7.09,0,1,7,6,78,56,81,1,13.59
7.5,0,0,7,3,87,53,44,1,11.11
8.86,0,2,2,3,58,63,91,1,12.44
8.97,1,0,3,4,97,89,41,1,12.76
7.26,3,2,3,1,52,48,74,1,12.48
7.34,4,0,4,1,95,66,68,1,10.52
8.11,0,1,4,5,41,80,70,1,11.12
6.48,0,1,1,1,41,83,98,0,0.0
7.48,0,2,6,3,44,66,96,1,13.66
7.18,1,1,2,1,88,44,57,1,11.67
7.47,1,1,3,1,55,40,75,1,10.18
6.49,1,3,6,4,67,68,98,1,13.24
5.85,1,1,5,5,68,89,84,1,11.61
5.44,0,0,3,3,88,41,94,0,0.0
6.25,0,3,7,0,61,94,66,1,11.76
6.81,0,1,3,1,40,81,57,1,8.94
6.95,0,0,4,1,63,40,71,1,11.32
8.85,0,1,2,6,57,60,89,1,14.11
8.14,2,0,2,2,84,53,96,0,0.0
6.38,0,0,4,2,85,97,81,0,0.0
7.5,0,2,4,0,45,73,83,1,11.73
6.85,1,0,6,3,88,59,71,1,10.9
6.96,2,2,3,6,44,56,59,0,0.0
7.36,0,3,7,2,77,74,65,1,13.53
7.73,2,1,5,4,63,40,70,0,0.0
6.91,3,2,1,1,58,55,89,0,0.0
8.1,1,2,6,1,69,50,73,1,11.94
6.23,1,4,5,5,58,77,88,1,12.61
7.21,0,1,3,0,88,80,41,1,10.67
9.41,4,0,4,3,98,68,86,1,12.03
7.39,0,1,3,2,89,48,70,1,12.53
8.42,3,1,5,0,66,62,100,1,12.22
7.28,1,0,4,3,70,91,68,1,10.24
7.69,0,1,4,6,67,52,69,0,0.0
7.15,0,0,2,0,88,49,47,0,0.0
7.06,1,3,3,5,73,46,89,1,13.72
6.54,1,0,4,3,68,89,82,0,0.0
7.57,0,0,4,5,64,47,92,1,12.84
6.48,2,0,3,0,62,75,45,1,8.84
7.77,3,0,5,6,73,100,52,1,10.51
8.12,1,0,2,0,82,79,93,1,11.32
7.51,1,0,4,6,66,65,42,1,10.73
6.96,0,0,1,4,89,52,71,1,10.84
7.59,2,0,4,2,90,40,64,1,12.2
6.94,0,1,6,0,66,49,97,1,13.55
8.0,3,1,6,4,95,98,92,1,13.48
5.64,0,0,5,0,50,48,94,0,0.0
6.91,1,0,6,4,96,41,57,1,11.28
5.51,0,0,1,5,57,89,75,1,8.89
5.93,0,0,3,1,74,65,82,0,0.0
8.36,2,0,5,1,57,61,99,1,12.22
7.96,1,2,6,1,66,83,40,1,11.6
6.59,1,4,5,1,60,71,99,1,13.55
5.92,4,3,6,0,83,95,61,1,11.12
5.0,4,1,2,1,44,68,47,0,0.0
6.74,3,1,2,4,91,83,77,0,0.0
9.26,0,0,1,2,95,93,87,1,14.1
7.57,1,2,5,5,74,68,47,1,12.43
6.72,3,2,5,5,73,57,42,1,10.11
7.6,0,3,2,5,82,99,94,1,13.78
5.87,0,3,6,3,52,53,96,1,12.74
6.95,2,1,6,2,85,42,49,0,0.0
7.28,1,2,3,6,53,75,95,1,13.04
7.13,1,2,2,1,81,100,95,0,0.0
7.87,5,0,6,3,58,45,100,0,0.0
7.49,1,3,5,3,85,91,53,1,12.91
7.77,0,0,2,5,88,90,75,1,10.79
6.61,0,4,2,3,52,96,100,1,12.73
7.96,0,2,4,5,77,65,95,1,14.91
8.58,0,0,4,6,70,55,76,1,13.12
6.38,2,2,2,2,57,71,52,0,0.0
6.45,2,0,7,6,75,48,45,1,10.84
8.34,0,2,3,1,100,91,55,1,14.0
7.04,0,2,3,6,40,80,43,0,0.0
8.39,3,1,1,1,98,69,51,1,11.66
6.82,0,3,7,5,92,71,44,1,10.7
8.44,1,0,2,2,72,83,86,0,0.0
7.31,1,0,7,6,77,71,75,1,12.33
7.42,1,1,4,0,62,91,71,1,9.36
8.53,0,0,7,3,47,96,89,1,13.4
6.89,1,1,2,6,74,97,65,1,11.97
6.4,0,0,2,0,89,77,64,0,0.0
6.82,1,1,6,1,54,85,52,1,10.88
7.58,0,1,6,0,83,58,67,1,11.91
5.87,1,3,4,2,85,42,50,1,9.54
7.74,1,0,1,2,86,64,75,1,11.61
6.74,0,3,7,4,60,93,100,1,15.3
8.18,0,1,3,1,63,48,72,1,12.79
5.16,0,0,7,1,65,73,58,0,0.0
6.53,0,1,7,1,92,51,81,1,11.37
5.77,0,1,6,6,94,66,90,1,12.13
6.5,4,0,5,6,65,48,68,0,0.0
7.41,0,1,5,1,99,84,55,1,11.93
7.05,2,0,4,1,74,89,83,0,0.0
6.98,4,1,1,0,63,86,51,0,0.0
7.06,0,1,3,6,40,82,100,1,12.96
7.37,1,1,6,4,77,54,59,1,12.27
6.34,3,2,6,5,79,72,61,1,10.72
7.8,1,0,4,2,99,46,84,0,0.0
7.76,0,4,5,4,83,62,40,1,11.56
7.53,0,2,1,0,41,70,52,0,0.0
7.67,0,4,4,4,74,80,47,1,12.85
7.45,1,2,4,4,85,45,63,1,12.33
8.93,5,0,7,2,70,89,73,1,11.59
7.13,4,1,3,4,66,67,50,0,0.0
6.94,0,0,2,4,89,93,60,1,10.69
6.56,2,2,3,3,77,72,87,1,11.87
6.32,0,1,2,1,81,73,97,1,12.48
6.14,3,0,4,0,68,82,40,1,8.09
6.44,0,3,5,6,56,90,78,1,13.03
7.14,4,0,6,1,71,49,41,0,0.0
7.48,2,1,7,2,98,71,71,0,0.0
7.24,0,2,1,4,76,41,93,1,13.1
6.55,0,0,2,1,83,68,88,1,10.74
7.97,2,1,3,2,47,89,54,1,10.6
7.83,0,2,2,4,100,92,55,1,12.42
7.06,1,0,6,4,54,57,87,1,11.51
6.65,3,1,1,4,99,63,90,0,0.0
7.67,1,0,1,0,67,73,57,0,0.0
7.36,0,2,7,3,96,64,40,1,11.14
5.97,0,0,7,3,94,50,67,1,11.76
7.14,0,3,2,4,86,58,77,1,13.09
7.42,4,3,3,1,95,64,67,0,0.0
6.44,0,0,4,1,77,71,97,1,11.29
7.36,0,0,4,5,91,96,89,1,14.16
5.96,0,1,7,4,50,73,88,1,11.7
8.34,4,2,3,5,44,63,41,1,9.49
8.26,0,1,1,1,73,80,92,1,11.73
6.99,3,0,3,6,89,87,86,0,0.0
